Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
13,technological innovation,3,#4DAF4A80,artificial intelligence,0.004252016285783532,0.007692307692307693,0.5972161989045612,1681,123.22665437803016,0.002127659574468085,0.004252016285783532
12,teamwork,3,#4DAF4A80,artificial intelligence,0.0027965192154921804,0.007100591715976331,0.4948555465734255,1681,143.1455930211215,0.0021321961620469083,0.0027965192154921804
12,visualization,3,#4DAF4A80,artificial intelligence,0.0024577565932291396,0.007100591715976331,0.47791741546027355,1681,106.29616518987264,0.0021008403361344537,0.0024577565932291396
12,writing,3,#4DAF4A80,artificial intelligence,0.003406032168837692,0.007100591715976331,0.5253311942407012,1681,148.94529665680275,0.0020920502092050207,0.003406032168837692
11,authentic assessment,3,#4DAF4A80,artificial intelligence,0.0022821749296823347,0.00650887573964497,0.43955253346636525,1681,60.025898296482694,0.002036659877800407,0.0022821749296823347
11,python,3,#4DAF4A80,artificial intelligence,0.0027497025799337257,0.00650887573964497,0.4629289159789348,1681,112.91203371927604,0.00199203187250996,0.0027497025799337257
10,active learning,3,#4DAF4A80,artificial intelligence,0.0022275254980292153,0.005917159763313609,0.4072342630671412,1681,138.7747088822015,0.0021551724137931034,0.0022275254980292153
10,curriculum development,3,#4DAF4A80,artificial intelligence,0.003025118499444348,0.005917159763313609,0.4471139131378979,1681,113.30150652546546,0.002053388090349076,0.003025118499444348
10,knowledge graph,3,#4DAF4A80,artificial intelligence,0.0012368382760271001,0.005917159763313609,0.3576999019670355,1681,9.520496298097976,0.00186219739292365,0.0012368382760271001
10,survey,3,#4DAF4A80,artificial intelligence,0.0018314389029027245,0.005917159763313609,0.38742993331081665,1681,84.38811388066681,0.002061855670103093,0.0018314389029027245
10,technology acceptance model,3,#4DAF4A80,artificial intelligence,0.0016237919269479757,0.005917159763313609,0.37704758451307924,1681,33.04477020733319,0.0017889087656529517,0.0016237919269479757
10,tools,3,#4DAF4A80,artificial intelligence,0.0026565337346602796,0.005917159763313609,0.4286846748986944,1681,50.89205312734846,0.002028397565922921,0.0026565337346602796
9,bibliometrics,3,#4DAF4A80,artificial intelligence,0.0023341073280389642,0.0053254437869822485,0.38297755575106063,1681,53.14150250329343,0.002053388090349076,0.0023341073280389642
9,debugging,3,#4DAF4A80,artificial intelligence,0.0019415151433332279,0.0053254437869822485,0.3633479465157738,1681,71.76426972137286,0.002070393374741201,0.0019415151433332279
9,encoding,3,#4DAF4A80,artificial intelligence,0.0032480622041819746,0.0053254437869822485,0.4286752995582111,1681,52.54443604417945,0.002028397565922921,0.0032480622041819746
8,cognition,3,#4DAF4A80,artificial intelligence,0.00278408598151794,0.004733727810650888,0.37589068960844135,1681,67.16549392513026,0.0021008403361344537,0.00278408598151794
8,deepseek,3,#4DAF4A80,artificial intelligence,0.0019574468066616423,0.004733727810650888,0.33455873086562654,1681,52.560188381487905,0.002044989775051125,0.0019574468066616423
8,guidelines,3,#4DAF4A80,artificial intelligence,0.002508088561130916,0.004733727810650888,0.36209081858909015,1681,88.95218675264059,0.0020242914979757085,0.002508088561130916
8,internet,3,#4DAF4A80,artificial intelligence,0.002216097819828652,0.004733727810650888,0.347491281523977,1681,59.01413882676899,0.002036659877800407,0.002216097819828652
8,navigation,3,#4DAF4A80,artificial intelligence,0.0029209493637787644,0.004733727810650888,0.3827338587214826,1681,95.61407862015956,0.002070393374741201,0.0029209493637787644
8,privacy,3,#4DAF4A80,artificial intelligence,0.0031404621007033446,0.004733727810650888,0.3937094955677116,1681,116.09109317659617,0.0021413276231263384,0.0031404621007033446
7,adaptation models,3,#4DAF4A80,artificial intelligence,0.0027099285457557595,0.004142011834319527,0.3425970190037643,1681,62.88230629120888,0.0020491803278688526,0.0027099285457557595
7,computational modeling,3,#4DAF4A80,artificial intelligence,0.002871469995352906,0.004142011834319527,0.35067409148362166,1681,42.514907208361855,0.002074688796680498,0.002871469995352906
